timestamp,Adblue,Vega_in3fr,vega_in3A,Высокие обороты ДВС,Высота,Граница ХХ оборотов ДВС,Граница высоких оборотов ДВС,Заряд батареи (bat),КОМ,Кузов угол ,Нагрузка ДВС,Напряжение АКБ,Напряжение сети,Обороты ДВС,Погрешность GPS,Положение педали газа,Пробег произвольный,Скорость,Скорость с тахографа,Спутники,Температура ДВС,Угол кузова (лайт),Уровень масла,Уровень сигнала GSM,Уровень топлива (CAN),Масса автомобиля,Масса груза,Масса груза (для пробега),Нагрузка на ось,Нагрузка на ось 1,Нагрузка на ось 2,Нагрузка на ось 3,Скорость с кан
2023-12-04 00:05:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.15,0.0,0.61,0.0,12789.0,,0.0,20.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 00:15:01,5.0,0.0,0.0443,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.14,0.0,0.69,0.0,12789.0,,0.0,17.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 00:25:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.15,0.0,0.65,0.0,12789.0,,0.0,18.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 00:35:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.14,0.0,0.53,0.0,12789.0,,0.0,22.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 00:45:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.74,25.14,0.0,0.56,0.0,12789.0,,0.0,20.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 00:55:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.15,0.0,0.66,0.0,12789.0,,0.0,17.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 01:05:01,5.0,0.0,0.0266,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.14,0.0,0.62,0.0,12789.0,,0.0,18.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 01:15:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.13,0.0,0.59,0.0,12789.0,,0.0,19.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 01:25:01,5.0,0.0,0.0177,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.13,0.0,0.6,0.0,12789.0,,0.0,19.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 01:35:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.13,0.0,0.72,0.0,12789.0,,0.0,16.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 01:45:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.12,0.0,0.7,0.0,12789.0,,0.0,16.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 01:55:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.12,0.0,0.68,0.0,12789.0,,0.0,17.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 02:05:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.12,0.0,0.71,0.0,12789.0,,0.0,17.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 02:15:01,5.0,0.0,0.0266,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.11,0.0,0.71,0.0,12789.0,,0.0,17.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 02:25:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.12,0.0,0.68,0.0,12789.0,,0.0,18.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 02:35:01,5.0,0.0,0.0532,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.11,0.0,0.75,0.0,12789.0,,0.0,17.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 02:45:01,5.0,0.0,20.6453,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.1,0.0,0.67,0.0,12789.0,,0.0,18.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 02:55:01,5.0,0.0,20.6365,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.1,0.0,0.69,0.0,12789.0,,0.0,17.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 03:05:01,5.0,0.0,20.6365,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.09,0.0,0.7,0.0,12789.0,,0.0,17.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 03:15:01,5.0,0.0,20.6365,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.09,0.0,0.63,0.0,12789.0,,0.0,20.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 03:25:01,5.0,0.0,20.6365,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.09,0.0,0.67,0.0,12789.0,,0.0,18.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 03:35:01,5.0,0.0,20.6365,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.09,0.0,0.63,0.0,12789.0,,0.0,19.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 03:45:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.09,0.0,0.77,0.0,12789.0,,0.0,16.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 03:55:01,5.0,0.0,20.6276,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.77,0.0,12789.0,,0.0,16.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 04:05:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.86,0.0,12789.0,,0.0,15.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 04:15:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.78,0.0,12789.0,,0.0,15.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 04:25:01,5.0,0.0,20.6276,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.09,0.0,0.74,0.0,12789.0,,0.0,16.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 04:35:01,5.0,0.0,20.6276,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.69,0.0,12789.0,,0.0,18.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 04:45:01,5.0,0.0,20.6276,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.73,0.0,12789.0,,0.0,18.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 04:55:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.74,0.0,12789.0,,0.0,18.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 05:05:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.07,0.0,0.78,0.0,12789.0,,0.0,18.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 05:15:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.73,0.0,12789.0,,0.0,19.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 05:25:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.74,0.0,12789.0,,0.0,18.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 05:35:01,5.0,0.0,20.6188,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.07,0.0,0.69,0.0,12789.0,,0.0,18.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 05:45:01,5.0,0.0,0.0266,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.08,0.0,0.79,0.0,12789.0,,0.0,17.0,0.0,,102.0,26.0,259.6,,,,,,,,
2023-12-04 05:55:01,5.0,0.0,0.0355,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,25.07,0.0,0.63,0.0,12789.0,,0.0,20.0,0.0,,102.0,25.0,259.6,,,,,,,,
2023-12-04 06:03:34,5.0,0.0,19.5196,0.0,,700.0,2300.0,,0.0,0.0,0.0,3.73,23.96,0.0,0.6,0.0,12789.0,,0.0,21.0,-4.0,,102.0,27.0,0.0,,,,,,,,
2023-12-04 06:03:38,,,,,187.0,,,99.0,,,,,,,,,,0.0,,19.0,,0.0,,,,,,,,,,,
2023-12-04 06:03:40,,,,,187.0,,,99.0,,,,,,,,,,0.0,,15.0,,0.0,,,,,,,,,,,
2023-12-04 06:04:28,,,,,187.0,,,99.0,,,,,,,,,,0.0,,16.0,,0.0,,,,,,,,,,,
2023-12-04 06:05:28,,,,,203.0,,,99.0,,,,,,,,,,0.0,,13.0,,0.0,,,,,,,,,,,
2023-12-04 06:06:28,,,,,203.0,,,99.0,,,,,,,,,,0.0,,15.0,,0.0,,,,,,,,,,,
2023-12-04 06:06:34,5.0,0.0,23.154,0.0,,700.0,2300.0,,0.0,0.0,17.0,3.74,28.14,611.0,0.66,0.0,12907.0,,2.0,19.0,6.0,,102.0,27.0,259.6,,,,,,,,
2023-12-04 06:07:04,5.0,0.0,23.1451,0.0,,700.0,2300.0,,0.0,0.0,19.0,3.73,28.13,992.0,0.8,22.0,12789.0,,3.0,17.0,7.0,,102.0,30.0,259.6,,,,,,,,
2023-12-04 06:07:28,,,,,200.0,,,99.0,,,,,,,,,,0.0,,16.0,,0.0,,,,,,,,,,,
